,Name,Classification,Taxon ID,Assembly,Accession,Species_str,assembly,Core_db
26,Amanita thiersii Skay4041,Agaricales,703135,Amanita_thiersii_v1.0,GCA_002554575.1,amanita_thiersii_skay4041_gca_002554575,Amanita thiersii v1.0,fungi_basidiomycota1_collection_core_59_112_1
27,Amniculicola lignicola CBS 123094,Pleosporales,1392246,Amnli1,GCA_010015725.1,amniculicola_lignicola_cbs_123094_gca_010015725,Amnli1,fungi_ascomycota5_collection_core_59_112_1
28,Amorphotheca resinae ATCC 22711,Myxotrichaceae,857342,Amore1,GCA_003019875.1,amorphotheca_resinae_atcc_22711_gca_003019875,Amore1,fungi_ascomycota4_collection_core_59_112_1
29,Ampelomyces quisqualis str. HMLAC05119,Pleosporales,50730,Ampqui1,GCA_010094095.1,ampelomyces_quisqualis_gca_010094095,Ampqui1,fungi_ascomycota5_collection_core_59_112_1
30,Amphiamblys sp. WSBS2006,Microsporidia,1866961,ASM187567v1,GCA_001875675.1,amphiamblys_sp_wsbs2006_gca_001875675,ASM187567v1,fungi_microsporidia1_collection_core_59_112_1
31,Anaeromyces robustus str. S4,Chytridiomycota,1754192,Anaeromyces_sp._S4_v1.0,GCA_002104895.1,anaeromyces_robustus_gca_002104895,Anaeromyces sp. S4 v1.0,fungi_neocallimastigomycota1_collection_core_59_112_1
32,Anncaliia algerae PRA109,Tubulinosematidae,1240240,Annc_alge_PRA109_V4,GCA_000385855.2,anncaliia_algerae_pra109_gca_000385855,Annc_alge_PRA109_V4,fungi_microsporidia1_collection_core_59_112_1
33,Anncaliia algerae PRA339,Tubulinosematidae,1288291,Annc_alge_insect_USDA_JJB_V2,GCA_000385875.2,anncaliia_algerae_pra339_gca_000385875,Annc_alge_insect_USDA_JJB_V2,fungi_microsporidia1_collection_core_59_112_1
34,Anthracocystis flocculosa,Ustilaginales,84751,Pse_flocc_v1,GCA_900322975.1,anthracocystis_flocculosa_gca_900322975,Pse_flocc_v1,fungi_basidiomycota2_collection_core_59_112_1
35,Anthracocystis flocculosa PF-1,Ustilaginales,1277687,Pflocc_1.0,GCA_000417875.1,anthracocystis_flocculosa_pf_1_gca_000417875,Pflocc_1.0,fungi_basidiomycota1_collection_core_59_112_1
36,Antrodiella citrinella str. DSM 108506,Polyporales,2447956,ASM480272v1,GCA_004802725.1,antrodiella_citrinella_gca_004802725,ASM480272v1,fungi_basidiomycota2_collection_core_59_112_1
37,Apiotrichum porosum str. DSM 27194,Fungi,105984,ASM394220v1,GCA_003942205.1,apiotrichum_porosum_gca_003942205,ASM394220v1,fungi_basidiomycota1_collection_core_59_112_1
38,Aplosporella prunicola CBS 121167,Botryosphaeriales,1176127,Aplpr1,GCA_010093885.1,aplosporella_prunicola_cbs_121167_gca_010093885,Aplpr1,fungi_ascomycota4_collection_core_59_112_1
39,Armillaria gallica str. Ar21-2,Agaricales,47427,Armga1,GCA_002307695.1,armillaria_gallica_gca_002307695,Armga1,fungi_basidiomycota1_collection_core_59_112_1
40,Armillaria ostoyae,Agaricales,47428,version_2,GCA_900157425.1,armillaria_ostoyae_gca_900157425,version 2,fungi_basidiomycota1_collection_core_59_112_1
41,Armillaria solidipes str. 28-4,Agaricales,1076256,Armost1,GCA_002307675.1,armillaria_solidipes_gca_002307675,Armost1,fungi_basidiomycota1_collection_core_59_112_1
42,Arthrobotrys flagrans str. CBS H-5679,Orbiliales,97331,DF_1.0,GCA_004000055.1,arthrobotrys_flagrans_gca_004000055,DF_1.0,fungi_ascomycota5_collection_core_59_112_1
43,Arthrobotrys oligospora ATCC 24927,Orbiliales,756982,AOL24927_1.0,GCA_000225545.1,arthrobotrys_oligospora_atcc_24927_gca_000225545,AOL24927 1.0,fungi_ascomycota1_collection_core_59_112_1
44,Arthrobotrys oligospora str. TWF102,Orbiliales,2813651,ASM1106657v1,GCA_011066575.1,arthrobotrys_oligospora_gca_011066575,ASM1106657v1,fungi_ascomycota4_collection_core_59_112_1
45,Arthrobotrys oligospora str. TWF103,Orbiliales,2813651,ASM1106660v1,GCA_011066605.1,arthrobotrys_oligospora_gca_011066605,ASM1106660v1,fungi_ascomycota4_collection_core_59_112_1
46,Arthrobotrys oligospora str. TWF154,Orbiliales,2813651,ASM476876v1,GCA_004768765.1,arthrobotrys_oligospora_gca_004768765,ASM476876v1,fungi_ascomycota5_collection_core_59_112_1
47,Arthrobotrys oligospora str. TWF191,Orbiliales,2813651,ASM1106692v1,GCA_011066925.1,arthrobotrys_oligospora_gca_011066925,ASM1106692v1,fungi_ascomycota5_collection_core_59_112_1
48,Arthrobotrys oligospora str. TWF217,Orbiliales,2813651,ASM1106673v1,GCA_011066735.1,arthrobotrys_oligospora_gca_011066735,ASM1106673v1,fungi_ascomycota4_collection_core_59_112_1
49,Arthrobotrys oligospora str. TWF225,Orbiliales,2813651,ASM1106679v1,GCA_011066795.1,arthrobotrys_oligospora_gca_011066795,ASM1106679v1,fungi_ascomycota5_collection_core_59_112_1
50,Arthrobotrys oligospora str. TWF569,Orbiliales,2813651,ASM1106656v1,GCA_011066565.1,arthrobotrys_oligospora_gca_011066565,ASM1106656v1,fungi_ascomycota5_collection_core_59_112_1
51,Arthrobotrys oligospora str. TWF594,Orbiliales,2813651,ASM1106669v1,GCA_011066695.1,arthrobotrys_oligospora_gca_011066695,ASM1106669v1,fungi_ascomycota4_collection_core_59_112_1
52,Arthrobotrys oligospora str. TWF703,Orbiliales,2813651,ASM1106659v1,GCA_011066595.1,arthrobotrys_oligospora_gca_011066595,ASM1106659v1,fungi_ascomycota5_collection_core_59_112_1
53,Arthrobotrys oligospora str. TWF706,Orbiliales,2813651,ASM1106658v1,GCA_011066585.1,arthrobotrys_oligospora_gca_011066585,ASM1106658v1,fungi_ascomycota5_collection_core_59_112_1
54,Arthrobotrys oligospora str. TWF751,Orbiliales,2813651,ASM1106671v1,GCA_011066715.1,arthrobotrys_oligospora_gca_011066715,ASM1106671v1,fungi_ascomycota4_collection_core_59_112_1
55,Arthrobotrys oligospora str. TWF970,Orbiliales,2813651,ASM1106684v1,GCA_011066845.1,arthrobotrys_oligospora_gca_011066845,ASM1106684v1,fungi_ascomycota5_collection_core_59_112_1
56,Ascobolus immersus RN42,Pezizales,1160509,Ascim1,GCA_003788565.2,ascobolus_immersus_rn42_gca_003788565,Ascim1,fungi_ascomycota5_collection_core_59_112_1
57,Ascochyta rabiei str. ArDII,Pleosporales,5454,AscRab1.0,GCA_001630375.1,ascochyta_rabiei_gca_001630375,AscRab1.0,fungi_ascomycota3_collection_core_59_112_1
58,Ascodesmis nigricans str. CBS 389.68,Pezizales,341454,Ascni1,GCA_004786065.1,ascodesmis_nigricans_gca_004786065,Ascni1,fungi_ascomycota5_collection_core_59_112_1
59,Ascoidea rubescens DSM 1968,Saccharomycetales,1344418,Ascru1,GCA_001661345.1,ascoidea_rubescens_dsm_1968_gca_001661345,Ascru1,fungi_ascomycota3_collection_core_59_112_1
60,Ascosphaera apis ARSEF 7405,Onygenales,392613,AAP_1.0,GCA_001636715.1,ascosphaera_apis_arsef_7405_gca_001636715,AAP 1.0,fungi_ascomycota3_collection_core_59_112_1
61,Ashbya gossypii,Saccharomycetales,284811,ASM9102v1,GCA_000091025.3,ashbya_gossypii,ASM9102v1,ashbya_gossypii_core_59_112_1
62,Aspergillus aculeatinus CBS 121060,Eurotiales,1448322,Aspacu1,GCA_003184765.1,aspergillus_aculeatinus_cbs_121060_gca_003184765,Aspacu1,fungi_ascomycota4_collection_core_59_112_1
63,Aspergillus aculeatus ATCC 16872,Eurotiales,690307,Aspac1,GCA_001890905.1,aspergillus_aculeatus_atcc_16872_gca_001890905,Aspac1,fungi_ascomycota3_collection_core_59_112_1
64,Aspergillus alliaceus str. CBS 536.65,Eurotiales,209559,Aspalli1,GCA_009176365.1,aspergillus_alliaceus_gca_009176365,Aspalli1,fungi_ascomycota5_collection_core_59_112_1
65,Aspergillus alliaceus str. IBT 14317,Eurotiales,209559,Aspalbe1,GCA_009193605.1,aspergillus_alliaceus_gca_009193605,Aspalbe1,fungi_ascomycota5_collection_core_59_112_1
66,Aspergillus arachidicola str. CBS 117610,Eurotiales,656916,ASM274980v1,GCA_002749805.1,aspergillus_arachidicola_gca_002749805,ASM274980v1,fungi_ascomycota4_collection_core_59_112_1
67,Aspergillus arachidicola str. CBS 117612,Eurotiales,656916,Aspara19utr,GCA_009193545.1,aspergillus_arachidicola_gca_009193545,Aspara19utr,fungi_ascomycota5_collection_core_59_112_1
68,Aspergillus avenaceus str. IBT 18842,Eurotiales,36643,Aspave1,GCA_009193465.1,aspergillus_avenaceus_gca_009193465,Aspave1,fungi_ascomycota5_collection_core_59_112_1
69,Aspergillus awamori str. IFM 58123,Eurotiales,105351,Aawm_assembly01,GCA_003850985.1,aspergillus_awamori_gca_003850985,Aawm_assembly01,fungi_ascomycota4_collection_core_59_112_1
70,Aspergillus bertholletiae str. IBT 29228,Eurotiales,1226010,Aspber1,GCA_009193595.1,aspergillus_bertholletiae_gca_009193595,Aspber1,fungi_ascomycota5_collection_core_59_112_1
71,Aspergillus bombycis str. NRRL26010,Eurotiales,109264,ASM179269v1,GCA_001792695.1,aspergillus_bombycis_gca_001792695,ASM179269v1,fungi_ascomycota3_collection_core_59_112_1
72,Aspergillus brasiliensis CBS 101740,Eurotiales,767769,Aspbr1,GCA_001889945.1,aspergillus_brasiliensis_cbs_101740_gca_001889945,Aspbr1,fungi_ascomycota3_collection_core_59_112_1
73,Aspergillus brunneoviolaceus CBS 621.78,Eurotiales,1450534,Aspbru1,GCA_003184695.1,aspergillus_brunneoviolaceus_cbs_621_78_gca_003184695,Aspbru1,fungi_ascomycota4_collection_core_59_112_1
74,Aspergillus caelatus str. CBS 763.97,Eurotiales,61420,Aspcae1,GCA_009193585.1,aspergillus_caelatus_gca_009193585,Aspcae1,fungi_ascomycota5_collection_core_59_112_1
75,Aspergillus calidoustus str. SF006504,Eurotiales,454130,Acal_Allpaths_LG,GCA_001511075.1,aspergillus_calidoustus_gca_001511075,Acal_Allpaths_LG,fungi_ascomycota3_collection_core_59_112_1
76,Aspergillus campestris IBT 28561,Eurotiales,1392248,Aspcam1,GCA_002847485.1,aspergillus_campestris_ibt_28561_gca_002847485,Aspcam1,fungi_ascomycota4_collection_core_59_112_1
77,Aspergillus candidus str. CBS 102.13,Eurotiales,41067,Aspcand1,GCA_002847045.1,aspergillus_candidus_gca_002847045,Aspcand1,fungi_ascomycota3_collection_core_59_112_1
78,Aspergillus carbonarius ITEM 5010,Eurotiales,602072,Aspca3,GCA_001990825.1,aspergillus_carbonarius_item_5010_gca_001990825,Aspca3,fungi_ascomycota3_collection_core_59_112_1
79,Aspergillus clavatus NRRL 1,Eurotiales,344612,ASM271v1,GCA_000002715.1,aspergillus_clavatus,ASM271v1,aspergillus_clavatus_core_59_112_1
80,Aspergillus coremiiformis str. CBS 553.77,Eurotiales,138285,Aspcor1,GCA_009193565.1,aspergillus_coremiiformis_gca_009193565,Aspcor1,fungi_ascomycota5_collection_core_59_112_1
81,Aspergillus costaricaensis CBS 115574,Eurotiales,1448317,Aspcos1,GCA_003184835.1,aspergillus_costaricaensis_cbs_115574_gca_003184835,Aspcos1,fungi_ascomycota5_collection_core_59_112_1
82,Aspergillus cristatus str. GZAAS20.1005,Eurotiales,573508,ASM171748v1,GCA_001717485.1,aspergillus_cristatus_gca_001717485,ASM171748v1,fungi_ascomycota3_collection_core_59_112_1
83,Aspergillus ellipticus CBS 707.79,Eurotiales,1448320,Aspell1,GCA_003184645.1,aspergillus_ellipticus_cbs_707_79_gca_003184645,Aspell1,fungi_ascomycota4_collection_core_59_112_1
84,Aspergillus eucalypticola CBS 122712,Eurotiales,1448314,Aspeuc1,GCA_003184535.1,aspergillus_eucalypticola_cbs_122712_gca_003184535,Aspeuc1,fungi_ascomycota4_collection_core_59_112_1
85,Aspergillus fijiensis CBS 313.89,Eurotiales,1448319,Aspfij1,GCA_003184825.1,aspergillus_fijiensis_cbs_313_89_gca_003184825,Aspfij1,fungi_ascomycota5_collection_core_59_112_1
86,Aspergillus fischeri NRRL 181,Eurotiales,331117,ASM14964v1,GCA_000149645.2,neosartorya_fischeri,ASM14964v1,neosartorya_fischeri_core_59_112_2
87,Aspergillus flavus,Eurotiales,5059,ASM244319v2,GCA_002443195.2,aspergillus_flavus_gca_002443195,ASM244319v2,fungi_ascomycota4_collection_core_59_112_1
88,Aspergillus flavus,Eurotiales,5059,ASM245617v2,GCA_002456175.2,aspergillus_flavus_gca_002456175,ASM245617v2,fungi_ascomycota4_collection_core_59_112_1
89,Aspergillus flavus,Eurotiales,5059,ASM244321v2,GCA_002443215.2,aspergillus_flavus_gca_002443215,ASM244321v2,fungi_ascomycota4_collection_core_59_112_1
90,Aspergillus flavus AF70,Eurotiales,1392242,ASM95283v1,GCA_000952835.1,aspergillus_flavus_af70_gca_000952835,ASM95283v1,fungi_ascomycota2_collection_core_59_112_1
91,Aspergillus flavus NRRL3357,Eurotiales,332952,ASM1411746v1,GCA_014117465.1,aspergillus_flavus_nrrl3357_gca_014117465,ASM1411746v1,fungi_ascomycota5_collection_core_59_112_1
92,Aspergillus flavus NRRL3357,Eurotiales,332952,JCVI-afl1-v2.0,GCA_000006275.2,aspergillus_flavus,JCVI-afl1-v2.0,aspergillus_flavus_core_59_112_2
93,Aspergillus flavus str. AF13,Eurotiales,5059,ASM1411748v1,GCA_014117485.1,aspergillus_flavus_gca_014117485,ASM1411748v1,fungi_ascomycota5_collection_core_59_112_1
94,Aspergillus flavus str. CA14,Eurotiales,5059,ASM370902v1,GCA_003709025.1,aspergillus_flavus_gca_003709025,ASM370902v1,fungi_ascomycota5_collection_core_59_112_1
95,Aspergillus flavus str. CBS 121.62,Eurotiales,5059,Asppari1,GCA_009176375.1,aspergillus_flavus_gca_009176375,Asppari1,fungi_ascomycota4_collection_core_59_112_1
96,Aspergillus fumigatus,Eurotiales,746128,ASM223498v1,GCA_002234985.1,aspergillus_fumigatus_gca_002234985,ASM223498v1,fungi_ascomycota3_collection_core_59_112_1
97,Aspergillus fumigatus,Eurotiales,746128,ASM223495v1,GCA_002234955.1,aspergillus_fumigatus_gca_002234955,ASM223495v1,fungi_ascomycota3_collection_core_59_112_1
98,Aspergillus fumigatus A1163,Eurotiales,451804,ASM15014v1,GCA_000150145.1,aspergillus_fumigatusa1163,ASM15014v1,aspergillus_fumigatusa1163_core_59_112_1
99,Aspergillus fumigatus Af293,Eurotiales,330879,ASM265v1,GCA_000002655.1,aspergillus_fumigatus,ASM265v1,aspergillus_fumigatus_core_59_112_1
100,Aspergillus fumigatus Z5,Eurotiales,1437362,ASM102932v1,GCA_001029325.1,aspergillus_fumigatus_z5_gca_001029325,ASM102932v1,fungi_ascomycota3_collection_core_59_112_1
101,Aspergillus fumigatus var. RP-2014,Eurotiales,1476192,AspFumNiv1.0,GCA_000731615.1,aspergillus_fumigatus_var_rp_2014_gca_000731615,AspFumNiv1.0,fungi_ascomycota1_collection_core_59_112_1
102,Aspergillus glaucus CBS 516.65,Eurotiales,1160497,Aspgl1,GCA_001890805.1,aspergillus_glaucus_cbs_516_65_gca_001890805,Aspgl1,fungi_ascomycota3_collection_core_59_112_1
103,Aspergillus heteromorphus CBS 117.55,Eurotiales,1448321,Asphet1,GCA_003184545.1,aspergillus_heteromorphus_cbs_117_55_gca_003184545,Asphet1,fungi_ascomycota4_collection_core_59_112_1
104,Aspergillus homomorphus CBS 101889,Eurotiales,1450537,Asphom1,GCA_003184865.1,aspergillus_homomorphus_cbs_101889_gca_003184865,Asphom1,fungi_ascomycota5_collection_core_59_112_1
105,Aspergillus ibericus CBS 121593,Eurotiales,1448316,Aspibe1,GCA_003184845.1,aspergillus_ibericus_cbs_121593_gca_003184845,Aspibe1,fungi_ascomycota5_collection_core_59_112_1
106,Aspergillus indologenus CBS 114.80,Eurotiales,1450541,Aspind1,GCA_003184685.1,aspergillus_indologenus_cbs_114_80_gca_003184685,Aspind1,fungi_ascomycota4_collection_core_59_112_1
107,Aspergillus japonicus CBS 114.51,Eurotiales,1448312,Aspjap1,GCA_003184785.1,aspergillus_japonicus_cbs_114_51_gca_003184785,Aspjap1,fungi_ascomycota4_collection_core_59_112_1
108,Aspergillus lentulus,Eurotiales,293939,ASM1072457v1,GCA_010724575.1,aspergillus_lentulus_gca_010724575,ASM1072457v1,fungi_ascomycota4_collection_core_59_112_1
109,Aspergillus lentulus,Eurotiales,293939,ASM1072463v1,GCA_010724635.1,aspergillus_lentulus_gca_010724635,ASM1072463v1,fungi_ascomycota5_collection_core_59_112_1
110,Aspergillus lentulus,Eurotiales,293939,ASM1072445v1,GCA_010724455.1,aspergillus_lentulus_gca_010724455,ASM1072445v1,fungi_ascomycota5_collection_core_59_112_1
111,Aspergillus lentulus,Eurotiales,293939,ASM1072491v1,GCA_010724915.1,aspergillus_lentulus_gca_010724915,ASM1072491v1,fungi_ascomycota4_collection_core_59_112_1
112,Aspergillus lentulus,Eurotiales,293939,ASM1072397v1,GCA_010723975.1,aspergillus_lentulus_gca_010723975,ASM1072397v1,fungi_ascomycota5_collection_core_59_112_1
113,Aspergillus lentulus str. IFM 54703,Eurotiales,293939,Alt_assembly01,GCA_001445615.1,aspergillus_lentulus_gca_001445615,Alt_assembly01,fungi_ascomycota3_collection_core_59_112_1
114,Aspergillus leporis str. CBS 151.66,Eurotiales,41062,Asplep1,GCA_009176345.1,aspergillus_leporis_gca_009176345,Asplep1,fungi_ascomycota5_collection_core_59_112_1
115,Aspergillus luchuensis CBS 106.47,Eurotiales,1137211,Aspfo1,GCA_001890685.1,aspergillus_luchuensis_cbs_106_47_gca_001890685,Aspfo1,fungi_ascomycota3_collection_core_59_112_1
116,Aspergillus minisclerotigenes str. CBS 117635,Eurotiales,656917,Aspmin1,GCA_009176455.1,aspergillus_minisclerotigenes_gca_009176455,Aspmin1,fungi_ascomycota5_collection_core_59_112_1
117,Aspergillus mulundensis str. DSM 5745,Eurotiales,1810919,ASM336962v1,GCA_003369625.1,aspergillus_mulundensis_gca_003369625,ASM336962v1,fungi_ascomycota4_collection_core_59_112_1
118,Aspergillus neoniger CBS 115656,Eurotiales,1448310,Aspneo1,GCA_003184625.1,aspergillus_neoniger_cbs_115656_gca_003184625,Aspneo1,fungi_ascomycota4_collection_core_59_112_1
119,Aspergillus nidulans,Eurotiales,227321,ASM1142v1,GCA_000011425.1,aspergillus_nidulans,ASM1142v1,aspergillus_nidulans_core_59_112_1
120,Aspergillus nidulans FGSC A4,Eurotiales,227321,ASM14920v2,GCA_000149205.2,aspergillus_nidulans_fgsc_a4_gca_000149205,ASM14920v2,fungi_ascomycota2_collection_core_59_112_1
121,Aspergillus niger,Eurotiales,5061,Aniger_ATCC_64974_N402,GCA_900248155.1,aspergillus_niger_gca_900248155,Aniger_ATCC 64974_N402,fungi_ascomycota4_collection_core_59_112_1
122,Aspergillus niger,Eurotiales,5061,ASM285v2,GCA_000002855.2,aspergillus_niger,ASM285v2,aspergillus_niger_core_59_112_2
123,Aspergillus niger,Eurotiales,5061,ASM221148v2,GCA_002211485.2,aspergillus_niger_gca_002211485,ASM221148v2,fungi_ascomycota4_collection_core_59_112_1
124,Aspergillus niger,Eurotiales,5061,ASM151534v1,GCA_001515345.1,aspergillus_niger_gca_001515345,ASM151534v1,fungi_ascomycota3_collection_core_59_112_1
125,Aspergillus niger ATCC 1015,Eurotiales,380704,ASPNI_v3.0,GCA_000230395.2,aspergillus_niger_atcc_1015_gca_000230395,ASPNI v3.0,fungi_ascomycota1_collection_core_59_112_1
126,Aspergillus niger ATCC 13496,Eurotiales,1353008,Aspni_bvT_1,GCA_003344705.1,aspergillus_niger_atcc_13496_gca_003344705,Aspni_bvT_1,fungi_ascomycota5_collection_core_59_112_1
127,Aspergillus niger CBS 101883,Eurotiales,1450533,Asplac1,GCA_003184595.1,aspergillus_niger_cbs_101883_gca_003184595,Asplac1,fungi_ascomycota4_collection_core_59_112_1
128,Aspergillus novofumigatus IBT 16806,Eurotiales,1392255,Aspnov1,GCA_002847465.1,aspergillus_novofumigatus_ibt_16806_gca_002847465,Aspnov1,fungi_ascomycota3_collection_core_59_112_1
129,Aspergillus novoparasiticus str. CBS 126849,Eurotiales,986946,Aspnovo1,GCA_009176405.1,aspergillus_novoparasiticus_gca_009176405,Aspnovo1,fungi_ascomycota5_collection_core_59_112_1
130,Aspergillus ochraceoroseus IBT 24754,Eurotiales,1392256,Aspergillus_ochraceoroseus_IBT_24754_v1.1,GCA_002846915.2,aspergillus_ochraceoroseus_ibt_24754_gca_002846915,Aspergillus ochraceoroseus IBT 24754 v1.1,fungi_ascomycota3_collection_core_59_112_1
131,Aspergillus ochraceoroseus str. SRRC1432,Eurotiales,138278,ASM98666v1,GCA_000986665.1,aspergillus_ochraceoroseus_gca_000986665,ASM98666v1,fungi_ascomycota2_collection_core_59_112_1
132,Aspergillus oryzae 100-8,Eurotiales,1197718,Aspergillus_oryzae_100-8,GCA_000691885.1,aspergillus_oryzae_100_8_gca_000691885,Aspergillus oryzae 100-8,fungi_ascomycota1_collection_core_59_112_1
133,Aspergillus oryzae 3.042,Eurotiales,1160506,AspOry3042,GCA_000269785.2,aspergillus_oryzae_3_042_gca_000269785,AspOry3042,fungi_ascomycota1_collection_core_59_112_1
134,Aspergillus oryzae RIB40,Eurotiales,510516,ASM18445v3,GCA_000184455.3,aspergillus_oryzae,ASM18445v3,aspergillus_oryzae_core_59_112_3
135,Aspergillus oryzae str. BCC7051,Eurotiales,5062,ASM200794v1,GCA_002007945.1,aspergillus_oryzae_gca_002007945,ASM200794v1,fungi_ascomycota3_collection_core_59_112_1
136,Aspergillus parasiticus SU-1,Eurotiales,1403190,ASM95608v1,GCA_000956085.1,aspergillus_parasiticus_su_1_gca_000956085,ASM95608v1,fungi_ascomycota3_collection_core_59_112_1
137,Aspergillus parasiticus str. CBS 117618,Eurotiales,5067,Asppar1,GCA_009176385.1,aspergillus_parasiticus_gca_009176385,Asppar1,fungi_ascomycota4_collection_core_59_112_1
138,Aspergillus phoenicis ATCC 13157,Eurotiales,1353007,Aspph1,GCA_003344505.1,aspergillus_phoenicis_atcc_13157_gca_003344505,Aspph1,fungi_ascomycota5_collection_core_59_112_1
139,Aspergillus piperis CBS 112811,Eurotiales,1448313,Asppip1,GCA_003184755.1,aspergillus_piperis_cbs_112811_gca_003184755,Asppip1,fungi_ascomycota4_collection_core_59_112_1
140,Aspergillus pseudocaelatus str. CBS 117616,Eurotiales,1825620,Asppsec1,GCA_009193665.1,aspergillus_pseudocaelatus_gca_009193665,Asppsec1,fungi_ascomycota5_collection_core_59_112_1
