Chromosome,Source,Feature,Start,End,Score,Strand,Frame,gene_id,gene_name,gene_source,gene_biotype,transcript_id,transcript_name,transcript_source,transcript_biotype,tag,exon_number,exon_id,protein_id
chrIV,,intergenic,1415171,1415209,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,914712,915212,,-,,YDR224C,,,,,,,,,,,
chrIV,,promoter,630781,631281,,+,,YDR093W,,,,,,,,,,,
chrIV,,promoter,163154,163654,,-,,YDL167C,,,,,,,,,,,
chrIV,,promoter,271888,272388,,+,,YDL105W,,,,,,,,,,,
chrIV,sgd,gene,159603,160764,.,+,.,YDL168W,SFA1,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1005143,1005174,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,782040,784215,.,-,.,YDR164C,SEC1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,856093,856593,,-,,YDR200C,,,,,,,,,,,
chrIV,,intergenic,581784,581907,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,364445,364817,.,-,.,YDL050C,,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1129087,1129587,,+,,YDR331W,,,,,,,,,,,
chrIV,sgd,gene,626707,628534,.,-,.,YDR091C,RLI1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1249821,1250321,,-,,YDR387C,,,,,,,,,,,
chrIV,sgd,gene,1120608,1124925,.,-,.,YDR326C,YSP2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1054647,1055147,,-,,YDR295C,,,,,,,,,,,
chrIV,sgd,gene,895034,899006,.,+,.,YDR216W,ADR1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,131833,132333,,-,,YDL183C,,,,,,,,,,,
chrIV,,intergenic,712995,713339,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,472656,473156,,+,,YDR013W,,,,,,,,,,,
chrIV,sgd,gene,1217781,1219110,.,-,.,YDR370C,DXO1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1114027,1114527,,-,,YDR323C,,,,,,,,,,,
chrIV,,promoter,1456694,1457194,,-,,YDR504C,,,,,,,,,,,
chrIV,,promoter,134678,135178,,+,,YDL181W,,,,,,,,,,,
chrIV,,intergenic,562827,563026,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,1305629,1305712,.,+,.,tS(AGA)D3,,sgd,tRNA,,,,,,,,
chrIV,sgd,gene,1328782,1330027,.,+,.,YDR432W,NPL3,sgd,protein_coding,,,,,,,,
chrIV,,promoter,716622,717122,,-,,YDR130C,,,,,,,,,,,
chrIV,sgd,gene,960613,963106,.,+,.,YDR251W,PAM1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1108279,1108498,.,-,.,YDR320C-A,DAD4,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,226751,226892,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,603811,604311,,-,,YDR079C-A,,,,,,,,,,,
chrIV,sgd,gene,1294835,1295411,.,-,.,YDR413C,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1468225,1468573,.,+,.,YDR509W,,sgd,protein_coding,,,,,,,,
chrIV,,promoter,103353,103853,,-,,YDL199C,,,,,,,,,,,
chrIV,sgd,gene,1127871,1129374,.,+,.,YDR330W,UBX5,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1393180,1393335,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,563526,564861,.,+,.,YDR055W,PST1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,48031,48531,,-,,YDL227C,,,,,,,,,,,
chrIV,sgd,gene,1366263,1366827,.,-,.,YDR454C,GUK1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1431967,1434268,.,-,.,YDR490C,PKH1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,234926,235853,.,+,.,YDL127W,PCL2,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1450073,1450197,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,993133,993952,.,+,.,YDR262W,,sgd,protein_coding,,,,,,,,
chrIV,,promoter,352376,352876,,+,,YDL056W,,,,,,,,,,,
chrIV,sgd,gene,359576,359672,.,+,.,tK(UUU)D,,sgd,tRNA,,,,,,,,
chrIV,,promoter,1189567,1190067,,-,,YDR357C,,,,,,,,,,,
chrIV,,intergenic,1404173,1404444,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,336986,337486,,+,,YDL064W,,,,,,,,,,,
chrIV,,promoter,282918,283418,,+,,YDL099W,,,,,,,,,,,
chrIV,,intergenic,475989,477296,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,456835,458103,.,-,.,YDR005C,MAF1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1030549,1031419,.,-,.,YDR284C,DPP1,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,430926,431107,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1465786,1466286,,-,,YDR507C,,,,,,,,,,,
chrIV,sgd,gene,937894,940816,.,-,.,YDR238C,SEC26,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1049392,1049892,,-,,YDR293C,,,,,,,,,,,
chrIV,sgd,gene,242551,244981,.,+,.,YDL122W,UBP1,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,527215,527421,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,111079,111579,,+,,YDL194W,,,,,,,,,,,
chrIV,sgd,gene,126786,130002,.,+,.,YDL185W,VMA1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,817949,818495,.,+,.,YDR178W,SDH4,sgd,protein_coding,,,,,,,,
chrIV,,promoter,884226,884726,,+,,YDR211W,,,,,,,,,,,
chrIV,sgd,gene,755554,756262,.,-,.,YDR149C,,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1226321,1226821,,+,,YDR376W,,,,,,,,,,,
chrIV,sgd,gene,1013475,1013643,.,-,.,YDR276C,PMP3,sgd,protein_coding,,,,,,,,
chrIV,,promoter,373608,374108,,-,,YDL045C,,,,,,,,,,,
chrIV,sgd,gene,256632,258555,.,-,.,YDL113C,ATG20,sgd,protein_coding,,,,,,,,
chrIV,,promoter,602869,603369,,-,,YDR078C,,,,,,,,,,,
chrIV,,promoter,141721,142221,,-,,YDL177C,,,,,,,,,,,
chrIV,,promoter,923806,924306,,-,,YDR228C,,,,,,,,,,,
chrIV,,promoter,184424,184924,,+,,YDL149W,,,,,,,,,,,
chrIV,sgd,gene,1506605,1507362,.,-,.,YDR535C,,sgd,protein_coding,,,,,,,,
chrIV,,promoter,969680,970180,,-,,YDR256C,,,,,,,,,,,
chrIV,,intergenic,1200553,1201627,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,425872,426372,,-,,YDL016C,,,,,,,,,,,
chrIV,,promoter,1485303,1485803,,-,,YDR522C,,,,,,,,,,,
chrIV,sgd,gene,292780,293221,.,+,.,YDL092W,SRP14,sgd,protein_coding,,,,,,,,
chrIV,,promoter,699468,699968,,-,,YDR123C,,,,,,,,,,,
chrIV,,intergenic,1078949,1079047,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1150520,1151020,,-,,YDR339C,,,,,,,,,,,
chrIV,,promoter,169608,170108,,-,,YDL160C-A,,,,,,,,,,,
chrIV,,promoter,889250,889750,,+,,YDR213W,,,,,,,,,,,
chrIV,,promoter,940816,941316,,-,,YDR238C,,,,,,,,,,,
chrIV,,promoter,1075171,1075671,,-,,YDR306C,,,,,,,,,,,
chrIV,,intergenic,231899,232151,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,637138,639823,.,+,.,YDR096W,GIS1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1062791,1063291,,-,,YDR300C,,,,,,,,,,,
chrIV,sgd,gene,943673,945152,.,-,.,YDR240C,SNU56,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1114432,1116763,.,-,.,YDR324C,UTP4,sgd,protein_coding,,,,,,,,
chrIV,,promoter,600292,600792,,+,,YDR077W,,,,,,,,,,,
chrIV,sgd,gene,265257,267201,.,-,.,YDL109C,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,111579,114234,.,+,.,YDL194W,SNF3,sgd,protein_coding,,,,,,,,
chrIV,,promoter,453621,454121,,+,,YDR003W,,,,,,,,,,,
chrIV,,intergenic,915928,915985,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1219110,1219610,,-,,YDR370C,,,,,,,,,,,
chrIV,sgd,gene,174917,176486,.,+,.,YDL156W,CMR1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1531342,1531842,,-,,YDR545C-A,,,,,,,,,,,
chrIV,sgd,gene,661172,664910,.,-,.,YDR104C,SPO71,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1242531,1242729,,,,intergenic,,,,,,,,,,,
chrIV,,intergenic,993952,994241,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,74445,76545,.,-,.,YDL214C,PRR2,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,359824,361285,.,-,.,YDL054C,MCH1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1226536,1227036,,-,,YDR375C,,,,,,,,,,,
chrIV,,promoter,715379,715879,,-,,YDR129C,,,,,,,,,,,
chrIV,,intergenic,856814,856897,,,,intergenic,,,,,,,,,,,
chrIV,,intergenic,861520,861553,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1242031,1242531,,-,,YDR384C,,,,,,,,,,,
chrIV,sgd,gene,1447829,1450073,.,+,.,YDR499W,LCD1,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1445467,1445967,,-,,YDR497C,,,,,,,,,,,
chrIV,sgd,gene,1420430,1420838,.,-,.,YDR482C,CWC21,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,67446,67982,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1249685,1250185,,+,,YDR388W,,,,,,,,,,,
chrIV,,promoter,1436429,1436929,,+,,YDR494W,,,,,,,,,,,
chrIV,,promoter,1502160,1502660,,-,,YDR533C,,,,,,,,,,,
chrIV,sgd,gene,882604,883927,.,-,.,YDR210C-C,,sgd,transposable_element,,,,,,,,
chrIV,,promoter,73918,74418,,-,,YDL215C,,,,,,,,,,,
chrIV,sgd,gene,46270,48031,.,-,.,YDL227C,HO,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,60871,61801,.,-,.,YDL222C,FMP45,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,819432,820824,.,+,.,YDR179W-A,NVJ3,sgd,protein_coding,,,,,,,,
chrIV,,promoter,310122,310622,,-,,YDL081C,,,,,,,,,,,
chrIV,sgd,gene,889750,892492,.,+,.,YDR213W,UPC2,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1170143,1170325,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,702733,703233,,+,,YDR126W,,,,,,,,,,,
chrIV,sgd,gene,844553,844952,.,+,.,YDR193W,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,871073,871301,.,+,.,YDR210W,,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1411627,1411872,,,,intergenic,,,,,,,,,,,
chrIV,,intergenic,428347,428566,,,,intergenic,,,,,,,,,,,
chrIV,,promoter,1479924,1480424,,+,,YDR519W,,,,,,,,,,,
chrIV,sgd,gene,541601,541700,.,-,.,snR47,,sgd,snoRNA,,,,,,,,
chrIV,,intergenic,1095461,1096063,,,,intergenic,,,,,,,,,,,
chrIV,,intergenic,1379596,1380054,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,548761,550576,.,-,.,YDR046C,BAP3,sgd,protein_coding,,,,,,,,
chrIV,,promoter,935892,936392,,-,,YDR236C,,,,,,,,,,,
chrIV,sgd,gene,100500,101067,.,-,.,YDL200C,MGT1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,825909,827355,.,-,.,YDR181C,SAS4,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1151802,1153626,.,-,.,YDR341C,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,126607,126835,.,-,.,YDL185C-A,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,854174,854540,.,+,.,YDR199W,,sgd,protein_coding,,,,,,,,
chrIV,,promoter,543369,543869,,-,,YDR043C,,,,,,,,,,,
chrIV,sgd,gene,1367484,1369386,.,+,.,YDR456W,NHX1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,790327,791848,.,+,.,YDR168W,CDC37,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1252536,1254501,.,+,.,YDR389W,SAC7,sgd,protein_coding,,,,,,,,
chrIV,,promoter,589402,589902,,-,,YDR071C,,,,,,,,,,,
chrIV,sgd,gene,1480424,1480832,.,+,.,YDR519W,FPR2,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1352181,1352589,.,-,.,YDR445C,,sgd,protein_coding,,,,,,,,
chrIV,,promoter,1422262,1422762,,+,,YDR484W,,,,,,,,,,,
chrIV,sgd,gene,680495,681617,.,-,.,YDR113C,PDS1,sgd,protein_coding,,,,,,,,
chrIV,,intergenic,1042961,1043145,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,1451352,1452918,.,+,.,YDR501W,PLM2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,217099,217599,,+,,YDL136W,,,,,,,,,,,
chrIV,,intergenic,1172325,1172385,,,,intergenic,,,,,,,,,,,
chrIV,sgd,gene,1510901,1511630,.,+,.,YDR538W,PAD1,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,38866,42244,.,-,.,YDL231C,BRE4,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,106740,107070,.,+,.,YDL196W,,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,92761,93745,.,-,.,YDL205C,HEM3,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1254936,1256847,.,-,.,YDR390C,UBA2,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1303173,1305072,.,+,.,YDR419W,RAD30,sgd,protein_coding,,,,,,,,
chrIV,sgd,gene,1496164,1496548,.,-,.,YDR529C,QCR7,sgd,protein_coding,,,,,,,,
chrIV,,promoter,465418,465918,,+,,YDR011W,,,,,,,,,,,
chrIV,,promoter,1420656,1421156,,+,,YDR483W,,,,,,,,,,,
chrIV,sgd,gene,848598,850200,.,+,.,YDR195W,REF2,sgd,protein_coding,,,,,,,,
chrIV,,promoter,718460,718960,,-,,YDR131C,,,,,,,,,,,
chrIV,,promoter,1238991,1239491,,+,,YDR382W,,,,,,,,,,,
chrIV,sgd,gene,289571,290081,.,-,.,YDL094C,,sgd,protein_coding,,,,,,,,
chrIV,,promoter,331040,331540,,-,,YDL071C,,,,,,,,,,,
